                 wl             A       A+Aa         f
  727    1    17.2298      5.083E+07  8.656E+13  1.760E-06
  783    1    17.1853      4.839E+07  1.966E+14  1.667E-06
  633    1    17.3643      2.949E+07  1.897E+13  1.629E-06
  692    1    17.2662      3.560E+07  9.306E+13  1.591E-06
  968    1    16.9299      3.554E+07  9.880E+13  1.528E-06
  984    1    16.9091      4.410E+07  1.236E+14  1.470E-06
  996    1    16.8928      3.122E+07  1.991E+14  1.336E-06
 1009    1    16.8715      3.032E+07  1.776E+14  1.294E-06
  989    1    16.9029      3.406E+07  1.237E+14  1.134E-06
 1034    1    16.8244      2.612E+07  1.263E+14  1.109E-06
  979    1    16.9136      2.437E+07  1.168E+14  1.045E-06
 1014    1    16.8611      2.414E+07  1.662E+14  8.003E-07
  759    1    17.2059      1.114E+07  1.288E+14  6.041E-07
  712    1    17.2418      1.709E+07  1.167E+14  5.921E-07
 1030    1    16.8300      1.354E+07  1.613E+14  5.750E-07
  742    1    17.2170      1.027E+07  7.477E+13  5.578E-07
  822    1    17.1410      1.574E+07  2.114E+14  5.394E-07
  993    1    16.8978      1.581E+07  1.586E+14  5.267E-07
  910    1    17.0391      1.501E+07  1.670E+14  5.083E-07
 1012    1    16.8700      9.934E+06  1.548E+14  4.239E-07
 1011    1    16.8702      5.708E+06  2.081E+14  2.977E-07
 1017    1    16.8520      8.986E+06  1.732E+14  2.976E-07
 1058    1    16.7511      6.627E+06  2.017E+14  2.788E-07
  828    1    17.1340      7.943E+06  1.656E+14  2.719E-07
 1015    1    16.8564      5.571E+06  1.900E+14  2.373E-07
 1054    1    16.7648      6.657E+06  1.773E+14  2.182E-07
  995    1    16.8940      6.499E+06  1.475E+14  2.162E-07
 1021    1    16.8466      3.795E+06  2.010E+14  1.973E-07
 1020    1    16.8486      5.871E+06  1.677E+14  1.943E-07
 1001    1    16.8824      5.726E+06  1.933E+14  1.903E-07
  976    1    16.9170      5.497E+06  1.266E+14  1.834E-07
 1032    1    16.8279      5.229E+06  1.637E+14  1.727E-07
  930    1    17.0010      3.916E+06  1.415E+14  1.697E-07
  865    1    17.1021      3.106E+06  1.892E+14  1.664E-07
  709    1    17.2445      3.161E+06  8.878E+13  1.409E-07
 1025    1    16.8364      4.127E+06  1.252E+14  1.364E-07
 1045    1    16.7941      2.418E+06  1.173E+14  1.023E-07
  992    1    16.8981      1.860E+06  1.650E+14  7.961E-08
 1046    1    16.7938      1.466E+06  1.103E+14  7.577E-08
 1023    1    16.8441      2.054E+06  1.644E+14  6.796E-08
 1044    1    16.7973      1.461E+06  1.815E+14  4.809E-08
 1047    1    16.7910      1.040E+06  1.446E+14  3.420E-08
 1039    1    16.8091      8.451E+05  1.200E+14  2.784E-08
  698    1    17.2596      7.666E+05  7.227E+13  2.663E-08
  981    1    16.9128      4.187E+05  1.345E+14  2.194E-08
 1036    1    16.8229      5.933E+05  1.258E+14  1.958E-08
 1006    1    16.8798      2.740E+05  1.539E+14  9.104E-09
 1072    1    16.7073      2.794E+05  1.230E+14  9.093E-09
 1041    1    16.8065      9.764E+04  1.320E+14  5.056E-09
 1016    1    16.8526      8.553E+04  1.889E+14  3.642E-09
 1060    1    16.7469      6.874E+04  1.993E+14  2.248E-09
  952    1    16.9541      3.500E+04  7.759E+13  1.509E-09
  699    1    17.2574      4.784E+03  1.151E+14  1.661E-10
 1049    1    16.7906      1.001E+02  1.255E+14  4.232E-12
